Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2937000L,15030379,MONTGOMERY,Injury Crash,06/22/2015 08:58:00 AM,County,BRIGGS CHANEY RD,CASTLE BLVD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,F5434AA1-C9E5-424A-BE4C-584964583BA4,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,DCC9C6D0-6F8A-408D-A8E9-49FC47907AD6,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,0,No,No,2015,CHEVROLET,CRUZE,39.08109848,-76.94620371,"(39.08109848, -76.94620371)"
MCP2162004T,200037556,Montgomery County Police,Property Damage Crash,09/24/2020 02:41:00 PM,County,THORNHURST DR,THORNBERRY LA,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,658C5243-C8A9-446E-95A1-4B17A78D5380,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,DC,58803384-4977-4C77-AEE8-BF49FB1B8E54,FUNCTIONAL,THREE OCLOCK,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",PASSING,East,25,No,No,2019,MERZ,SPRINTER,39.16157333,-77.085875,"(39.16157333, -77.085875)"
MCP3233004C,230068803,Montgomery County Police,Injury Crash,11/28/2023 07:35:00 PM,Maryland (State),UNIVERSITY BLVD E,FRANKLIN AVE,,N/A,,SAME DIR REAR END,CLEAR,ICE,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,BFE0B052-54D1-4C0D-AEBA-B7AE6E7DA36D,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",NOT DISTRACTED,MD,F094D228-8CE6-40BC-9424-379F6B4D1A66,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,35,No,No,0,CHEVY,TRUCK,39.01358832,-77.00349584,"(39.01358832, -77.00349584)"
MCP10640084,180053676,Montgomery County Police,Injury Crash,10/26/2018 02:16:00 PM,County,E RANDOLPH RD,TOURMALINE CT,,N/A,,SAME DIRECTION LEFT TURN,CLOUDY,DRY,DAYLIGHT,N/A,N/A,,87235AF5-F133-495C-A074-1621CD4C61DD,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,F743A440-E06E-4676-A0BC-B713E56984B5,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,40,No,No,2008,MERZ,E350 4S,39.06596333,-76.97396,"(39.06596333, -76.97396)"
MCP3068004T,230023555,Montgomery County Police,Property Damage Crash,05/16/2023 07:20:00 PM,County,RUGBY AVE,AUBURN AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,N/A,N/A,,E1C3CDA2-38A1-4461-9D0A-FE00D95E9E15,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,3D134609-D6D2-4EBC-8CBF-11268B20A108,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2008,TOYT,COROLLA,38.9908325,-77.09825233,"(38.9908325, -77.09825233)"
MCP11480010,15050586,MONTGOMERY,Property Damage Crash,10/06/2015 10:49:00 AM,Maryland (State),BRADLEY BLVD,STRATHMORE ST,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DA775C8A-8BF3-48EA-BD54-738A434995A7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,86F99B30-4BC1-4FF2-8FFC-FCD12BEA0286,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2015,VOLKS,GTI,38.97756667,-77.09194,"(38.97756667, -77.09194)"
MCP1099000P,16010261,MONTGOMERY,Injury Crash,03/01/2016 03:15:00 PM,Maryland (State),WOODFIELD RD,LINDBERGH DR,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,CC8F4C74-B6A2-47F3-9302-CDFA28FD2D97,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,18B2F491-187D-4F6B-881E-471F72F099DA,DISABLING,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,45,No,No,1998,TOYOTA,COROLLA,39.14582966,-77.14429021,"(39.14582966, -77.14429021)"
MCP229800PG,190046839,Montgomery County Police,Injury Crash,09/30/2019 01:00:00 PM,County,MIDDLEBROOK RD,GREAT SENECA HWY,,N/A,,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C297D904-F891-413A-A930-2FAE76C95360,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,630F6026-2B73-4A9A-A29C-7851C185F162,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,30,No,No,2004,LEXUS,RX330,39.17492999,-77.26140449,"(39.17492999, -77.26140449)"
DD56010012,15036796,ROCKVILLE,Property Damage Crash,07/25/2015 08:34:00 PM,Maryland (State),VEIRS MILL RD,EDMONSTON DR,,ROCKVILLE,,SINGLE VEHICLE,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,ALCOHOL CONTRIBUTED,,6611C12B-9E01-4A93-AB16-5B7635B0CAE0,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,04D8480E-D2D2-419D-8847-81DF805CF904,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2014,CADILLAC,4S,39.078592,-77.130986,"(39.078592, -77.130986)"
MCP2951000V,15060487,MONTGOMERY,Property Damage Crash,11/26/2015 11:47:00 AM,Maryland (State),NEW HAMPSHIRE AVE,SAPLING RIDGE LA,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,EC0221A8-C5CA-4D1D-A5DD-C48E5380EEB7,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7C219DB7-00B9-4D54-951A-E6FFE5325480,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45,No,No,1998,HONDA,ACCORD,39.21939333,-77.057765,"(39.21939333, -77.057765)"
