Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP21620048,190049313,Montgomery County Police,Property Damage Crash,10/14/2019 03:46:00 PM,No,County,West,,3,East,75,FEET,LEVEL,BOWIE MILL RD,WICKHAM DR,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,N/A,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.15491689,-77.09482685,"(39.15491689, -77.09482685)"
MCP3034000N,170507489,Montgomery County Police,Injury Crash,05/12/2017 10:36:00 PM,Yes,Maryland (State),South,UNKNOWN,4,South,0,FEET,LEVEL,PINEY BRANCH RD,GREENWOOD AVE,,N/A,PEDESTRIAN,UNKNOWN,N/A,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,,NONE DETECTED,PEDESTRIAN,N/A,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99821,-77.00249833,"(38.99821, -77.00249833)"
MCP3350002W,240008686,MONTGOMERY,Property Damage Crash,02/22/2024 01:55:00 PM,No,Maryland (State) Route,Northbound,"Lane 1, Lane 2","1, 3",South,53.92,FEET,Level,ROCKVILLE PIKE,,,,,DRIVER,Angle,Cloudy,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Crossover-Related,,Straight,No Defects,"Divided, Raised Median (curbed)",39.02265,-77.10287833,"(39.02265, -77.10287833)"
MCP209400BV,180037217,Montgomery County Police,Injury Crash,07/27/2018 11:21:00 AM,No,Maryland (State),East,,2,West,30,FEET,HILL UPHILL,RIVER RD,NEVIS RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.986235,-77.143715,"(38.986235, -77.143715)"
MCP3145003D,230026048,Montgomery County Police,Property Damage Crash,05/31/2023 09:15:00 AM,No,Maryland (State),South,,3,North,10,FEET,LEVEL,NEW HAMPSHIRE AVE,POWDER MILL RD,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02259725,-76.97786438,"(39.02259725, -76.97786438)"
MCP2750001F,15026471,Montgomery County Police,Injury Crash,06/01/2015 05:00:00 PM,No,Maryland (State),East,,3,East,0,FEET,LEVEL,VEIRS MILL RD,ENT TO SHOPPING CENTER,,N/A,PEDESTRIAN,UNKNOWN,STRAIGHT MOVEMENT ANGLE,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.03717167,-77.05171,"(39.03717167, -77.05171)"
MCP3181002P,240048988,MONTGOMERY,Property Damage Crash,10/13/2024 10:03:00 PM,No,,,,0,,,FEET,,,,Parking Lot Way        PARKING LOT OF 3974 BEL PRE RD,,,DRIVER,Front to Rear,Clear,,Dark - Lighted,,"Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,,,,,,39.09118932,-77.07780032,"(39.09118932, -77.07780032)"
MCP2919008W,210052524,Montgomery County Police,Property Damage Crash,12/24/2021 06:25:00 PM,No,Maryland (State),North,,3,North,0,FEET,LEVEL,NEW HAMPSHIRE AVE,OAKVIEW DR,,N/A,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05730833,-77.073335,"(39.05730833, -77.073335)"
MCP1227000L,16062682,Montgomery County Police,Fatal Crash,12/06/2016 05:41:00 PM,No,Municipality,North,,1,South,0,FEET,LEVEL,CHAPMAN AVE,BOUIC AVE,,ROCKVILLE,PEDESTRIAN,UNKNOWN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,N/A,NONE DETECTED,NONE DETECTED,PEDESTRIAN,N/A,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.06111552,-77.12100327,"(39.06111552, -77.12100327)"
MCP2991007Q,230007808,Montgomery County Police,Property Damage Crash,02/16/2023 07:45:00 AM,No,Maryland (State),South,LEFT TURN LANE,2,North,0.1,FEET,LEVEL,NEW HAMPSHIRE AVE,HOBBS DR,,N/A,,DRIVER,N/A,N/A,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,N/A,N/A,STRAIGHT,NO DEFECTS,N/A,39.08518167,-76.99971,"(39.08518167, -76.99971)"
